#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
KAF7235422.1         -          7tm_1                PF00001.26         0 1026.5 252.9   6.6e-37  127.4  20.5  11.5  11   0   0  11  11  11  11 Craniofacial development protein 2 [Varanus komodoensis]
KAF7237959.1         -          7tm_1                PF00001.26  1.6e-191  634.2 167.5   5.6e-35  121.1  20.8   7.4   7   0   0   7   7   7   7 Olfactory receptor 5B21 [Varanus komodoensis]
KAF7235631.1         -          7tm_1                PF00001.26  1.5e-162  539.2 120.8   6.5e-34  117.6  21.5   5.8   5   0   0   5   5   5   5 Olfactory receptor 4M1, partial [Varanus komodoensis]
KAF7237974.1         -          7tm_1                PF00001.26  1.3e-150  500.1 128.5   5.5e-37  127.7  18.9   5.4   5   0   0   5   5   5   5 Olfactory receptor 13G1, partial [Varanus komodoensis]
KAF7235205.1         -          7tm_1                PF00001.26   8.7e-45  153.2  18.6   1.1e-44  152.9  18.6   1.1   1   0   0   1   1   1   1 Leukotriene B4 receptor 2 [Varanus komodoensis]
KAF7248117.1         -          7tm_1                PF00001.26   2.4e-44  151.8  14.8   3.3e-44  151.3  14.8   1.2   1   0   0   1   1   1   1 putative G-protein coupled receptor 19 [Varanus komodoensis]
KAF7248695.1         -          7tm_1                PF00001.26   3.1e-44  151.4  12.4     4e-44  151.0  12.4   1.1   1   0   0   1   1   1   1 Pinopsin [Varanus komodoensis]
KAF7236512.1         -          7tm_1                PF00001.26   4.7e-44  150.8  21.3   7.5e-44  150.2  21.3   1.3   1   0   0   1   1   1   1 Chemokine-like receptor 1 [Varanus komodoensis]
KAF7253870.1         -          7tm_1                PF00001.26     1e-43  149.7  18.6   1.3e-43  149.3  18.6   1.2   1   0   0   1   1   1   1 Opsin-3, partial [Varanus komodoensis]
KAF7245701.1         -          7tm_1                PF00001.26   1.4e-43  149.3  11.3   1.8e-43  148.9  11.3   1.2   1   0   0   1   1   1   1 Platelet-activating factor receptor [Varanus komodoensis]
KAF7241991.1         -          7tm_1                PF00001.26   1.7e-43  149.0  28.1   2.6e-43  148.4  28.1   1.3   1   0   0   1   1   1   1 2-oxoglutarate receptor 1 [Varanus komodoensis]
KAF7245186.1         -          7tm_1                PF00001.26   1.9e-43  148.9  12.9   2.4e-43  148.5  12.9   1.1   1   0   0   1   1   1   1 Galanin receptor type 1 [Varanus komodoensis]
KAF7246485.1         -          7tm_1                PF00001.26   1.9e-43  148.8  24.0   2.4e-43  148.5  24.0   1.1   1   0   0   1   1   1   1 Mesotocin receptor [Varanus komodoensis]
KAF7240625.1         -          7tm_1                PF00001.26   2.8e-43  148.3  16.1   3.8e-43  147.9  16.1   1.2   1   0   0   1   1   1   1 Arf-GAP with dual PH domain-containing protein 1 [Varanus komodoensis]
KAF7240240.1         -          7tm_1                PF00001.26   3.9e-43  147.8  18.1   4.7e-43  147.6  18.1   1.1   1   0   0   1   1   1   1 P2Y purinoceptor 11 [Varanus komodoensis]
KAF7245337.1         -          7tm_1                PF00001.26     4e-43  147.8  33.2     4e-43  147.8  33.2   1.9   2   0   0   2   2   1   1 Anoctamin-5 [Varanus komodoensis]
KAF7249636.1         -          7tm_1                PF00001.26   4.7e-43  147.6  21.9   6.6e-43  147.1  21.9   1.2   1   0   0   1   1   1   1 putative G-protein coupled receptor [Varanus komodoensis]
KAF7248632.1         -          7tm_1                PF00001.26   6.6e-43  147.1  23.2   8.7e-43  146.7  23.2   1.1   1   0   0   1   1   1   1 Melatonin receptor type 1A [Varanus komodoensis]
KAF7249244.1         -          7tm_1                PF00001.26   1.6e-42  145.8  21.6     2e-42  145.5  21.6   1.1   1   0   0   1   1   1   1 Melatonin receptor type 1A [Varanus komodoensis]
KAF7239032.1         -          7tm_1                PF00001.26   1.8e-42  145.7  11.0   2.7e-42  145.0  11.0   1.3   1   0   0   1   1   1   1 C-X-C chemokine receptor type 6 [Varanus komodoensis]
KAF7242986.1         -          7tm_1                PF00001.26   5.6e-42  144.0  15.9   5.6e-42  144.0  15.9   1.4   1   1   0   1   1   1   1 Orexin receptor type 2 [Varanus komodoensis]
KAF7237985.1         -          7tm_1                PF00001.26   6.9e-42  143.7  25.6   9.2e-42  143.3  25.6   1.2   1   0   0   1   1   1   1 Olfactory receptor 6B1 [Varanus komodoensis]
KAF7244829.1         -          7tm_1                PF00001.26   7.2e-42  143.7  11.4   1.1e-41  143.0  11.4   1.3   1   0   0   1   1   1   1 Endothelin receptor type B [Varanus komodoensis]
KAF7245921.1         -          7tm_1                PF00001.26   1.2e-41  143.0  24.3   1.5e-41  142.6  24.3   1.1   1   0   0   1   1   1   1 Cannabinoid receptor 2 [Varanus komodoensis]
KAF7239810.1         -          7tm_1                PF00001.26   1.6e-41  142.5   1.5   7.5e-24   84.6   0.4   2.1   1   1   1   2   2   2   2 Apelin receptor [Varanus komodoensis]
KAF7252798.1         -          7tm_1                PF00001.26   2.2e-41  142.1   7.5   5.7e-35  121.1   5.8   2.2   2   0   0   2   2   2   2 Endothelin receptor type B [Varanus komodoensis]
KAF7243537.1         -          7tm_1                PF00001.26   2.6e-41  141.8  21.2   2.6e-41  141.8  21.2   1.9   2   0   0   2   2   2   1 Sphingosine 1-phosphate receptor 1 [Varanus komodoensis]
KAF7235428.1         -          7tm_1                PF00001.26   3.2e-41  141.5  23.2   4.5e-41  141.1  23.2   1.2   1   0   0   1   1   1   1 Olfactory receptor 14J1 [Varanus komodoensis]
KAF7236515.1         -          7tm_1                PF00001.26   3.4e-41  141.5  16.1   4.9e-41  140.9  16.1   1.2   1   0   0   1   1   1   1 putative G-protein coupled receptor 33 [Varanus komodoensis]
KAF7247784.1         -          7tm_1                PF00001.26   5.7e-41  140.7  15.0   8.4e-41  140.2  15.0   1.3   1   0   0   1   1   1   1 Neuropeptide S receptor [Varanus komodoensis]
KAF7236009.1         -          7tm_1                PF00001.26   1.3e-40  139.5  19.6   1.9e-40  139.0  19.6   1.2   1   0   0   1   1   1   1 Olfactory receptor 10Q1 [Varanus komodoensis]
KAF7237961.1         -          7tm_1                PF00001.26   1.3e-40  139.5  24.8   1.9e-40  139.0  24.8   1.2   1   0   0   1   1   1   1 Olfactory receptor 6B1 [Varanus komodoensis]
KAF7236500.1         -          7tm_1                PF00001.26   2.2e-40  138.8  10.6     3e-40  138.3  10.6   1.2   1   0   0   1   1   1   1 Free fatty acid receptor 2 [Varanus komodoensis]
KAF7236341.1         -          7tm_1                PF00001.26   7.1e-40  137.1  14.9   1.1e-39  136.6  14.9   1.3   1   0   0   1   1   1   1 Sphingosine 1-phosphate receptor 1 [Varanus komodoensis]
KAF7237970.1         -          7tm_1                PF00001.26   8.6e-40  136.9  25.4   1.2e-39  136.4  25.4   1.2   1   0   0   1   1   1   1 Olfactory receptor 5V1 [Varanus komodoensis]
KAF7240261.1         -          7tm_1                PF00001.26   9.4e-40  136.7  11.1   1.2e-39  136.4  11.1   1.1   1   0   0   1   1   1   1 G-protein coupled receptor 84 [Varanus komodoensis]
KAF7239661.1         -          7tm_1                PF00001.26   1.2e-39  136.4  18.4   1.6e-39  136.0  18.4   1.2   1   0   0   1   1   1   1 Olfactory receptor 11A1 [Varanus komodoensis]
KAF7234902.1         -          7tm_1                PF00001.26   1.7e-39  135.9  17.5   2.1e-39  135.6  17.5   1.1   1   0   0   1   1   1   1 Olfactory receptor 5V1 [Varanus komodoensis]
KAF7235644.1         -          7tm_1                PF00001.26   1.7e-39  135.9  24.0   1.7e-39  135.9  24.0   1.9   2   0   0   2   2   2   1 Olfactory receptor 10C1 [Varanus komodoensis]
KAF7241223.1         -          7tm_1                PF00001.26     2e-39  135.7  21.0   2.9e-39  135.1  21.0   1.3   1   0   0   1   1   1   1 Olfactory receptor 6M1 [Varanus komodoensis]
KAF7243304.1         -          7tm_1                PF00001.26   2.3e-39  135.5  12.2     3e-39  135.1  12.2   1.1   1   0   0   1   1   1   1 Opsin-3 [Varanus komodoensis]
KAF7243387.1         -          7tm_1                PF00001.26   2.5e-39  135.3  21.9   2.5e-39  135.3  21.9   1.5   2   0   0   2   2   1   1 Lysophosphatidic acid receptor 3 [Varanus komodoensis]
KAF7236505.1         -          7tm_1                PF00001.26   2.6e-39  135.3  13.7   2.6e-39  135.3  13.7   1.6   1   1   1   2   2   2   1 Free fatty acid receptor 2 [Varanus komodoensis]
KAF7244949.1         -          7tm_1                PF00001.26   2.8e-39  135.2  18.5   3.6e-39  134.8  18.5   1.1   1   0   0   1   1   1   1 Glucose-dependent insulinotropic receptor [Varanus komodoensis]
KAF7238019.1         -          7tm_1                PF00001.26   3.9e-39  134.7  23.5   3.9e-39  134.7  23.5   1.6   2   0   0   2   2   1   1 Olfactory receptor 10A7 [Varanus komodoensis]
KAF7237973.1         -          7tm_1                PF00001.26   4.1e-39  134.6  23.3   5.9e-39  134.1  23.3   1.2   1   0   0   1   1   1   1 Olfactory receptor 5V1 [Varanus komodoensis]
KAF7247186.1         -          7tm_1                PF00001.26   5.4e-39  134.2   3.3   7.1e-39  133.8   3.3   1.2   1   0   0   1   1   1   1 Melanopsin-A [Varanus komodoensis]
KAF7237971.1         -          7tm_1                PF00001.26   5.5e-39  134.2  21.6     1e-38  133.4  21.6   1.4   1   0   0   1   1   1   1 putative olfactory receptor 14L1 [Varanus komodoensis]
KAF7237983.1         -          7tm_1                PF00001.26   5.6e-39  134.2  21.9   1.2e-38  133.1  21.9   1.6   1   1   0   1   1   1   1 Olfactory receptor 5V1 [Varanus komodoensis]
KAF7235421.1         -          7tm_1                PF00001.26     6e-39  134.1  25.3   8.5e-39  133.6  25.3   1.2   1   0   0   1   1   1   1 Olfactory receptor 14I1 [Varanus komodoensis]
KAF7250606.1         -          7tm_1                PF00001.26   1.2e-38  133.1  19.7   1.7e-38  132.6  19.7   1.2   1   0   0   1   1   1   1 Sphingosine 1-phosphate receptor 3 [Varanus komodoensis]
KAF7235988.1         -          7tm_1                PF00001.26   1.4e-38  132.9  31.3   1.9e-38  132.5  31.3   1.2   1   0   0   1   1   1   1 hypothetical protein EYD10_17225 [Varanus komodoensis]
KAF7245175.1         -          7tm_1                PF00001.26   1.4e-38  132.9  34.4   2.2e-38  132.3  34.4   1.3   1   0   0   1   1   1   1 Melanocortin receptor 4 [Varanus komodoensis]
KAF7236513.1         -          7tm_1                PF00001.26   1.8e-38  132.6  28.0   1.8e-38  132.6  28.0   1.4   1   1   0   1   1   1   1 putative G-protein coupled receptor 33 [Varanus komodoensis]
KAF7245111.1         -          7tm_1                PF00001.26   1.9e-38  132.5  40.6   1.2e-37  129.8  40.6   2.0   1   1   0   1   1   1   1 Melanocortin receptor 5 [Varanus komodoensis]
KAF7235754.1         -          7tm_1                PF00001.26   3.3e-38  131.6  23.8   6.1e-38  130.8  23.8   1.4   1   1   0   1   1   1   1 hypothetical protein EYD10_17435 [Varanus komodoensis]
KAF7253857.1         -          7tm_1                PF00001.26   6.2e-38  130.8  15.1   8.3e-38  130.3  15.1   1.2   1   0   0   1   1   1   1 Olfactory receptor 5V1 [Varanus komodoensis]
KAF7239672.1         -          7tm_1                PF00001.26   1.2e-37  129.8  24.8   1.7e-37  129.3  24.8   1.2   1   0   0   1   1   1   1 Olfactory receptor 5V1 [Varanus komodoensis]
KAF7235199.1         -          7tm_1                PF00001.26   1.2e-37  129.8  14.5     2e-37  129.1  14.5   1.3   1   0   0   1   1   1   1 Olfactory receptor 5V1 [Varanus komodoensis]
KAF7240244.1         -          7tm_1                PF00001.26   1.9e-37  129.2  23.1   1.9e-37  129.2  23.1   1.4   2   0   0   2   2   1   1 Sphingosine 1-phosphate receptor 2 [Varanus komodoensis]
KAF7248337.1         -          7tm_1                PF00001.26   2.1e-37  129.0  15.3   1.3e-21   77.3   4.8   2.3   1   1   1   2   2   2   2 C3a anaphylatoxin chemotactic receptor [Varanus komodoensis]
KAF7236013.1         -          7tm_1                PF00001.26   2.3e-37  128.9  18.2   3.2e-37  128.4  18.2   1.2   1   0   0   1   1   1   1 Olfactory receptor 11L1 [Varanus komodoensis]
KAF7237969.1         -          7tm_1                PF00001.26   2.5e-37  128.8  24.5   4.1e-37  128.1  24.5   1.4   1   0   0   1   1   1   1 Olfactory receptor 11L1 [Varanus komodoensis]
KAF7234740.1         -          7tm_1                PF00001.26   4.5e-37  128.0  18.1   6.7e-37  127.4  18.1   1.3   1   0   0   1   1   1   1 Olfactory receptor 5F1 [Varanus komodoensis]
KAF7237960.1         -          7tm_1                PF00001.26   5.1e-37  127.8  19.2   7.2e-37  127.3  19.2   1.2   1   0   0   1   1   1   1 Olfactory receptor 10A7 [Varanus komodoensis]
KAF7237979.1         -          7tm_1                PF00001.26   5.8e-37  127.6  21.2   8.4e-37  127.1  21.2   1.2   1   0   0   1   1   1   1 Olfactory receptor 5V1, partial [Varanus komodoensis]
KAF7241030.1         -          7tm_1                PF00001.26   5.9e-37  127.6  20.4   7.9e-37  127.1  20.4   1.2   1   0   0   1   1   1   1 putative G-protein coupled receptor 21 [Varanus komodoensis]
KAF7234636.1         -          7tm_1                PF00001.26   5.9e-37  127.6  18.2     1e-36  126.8  18.2   1.4   1   0   0   1   1   1   1 Olfactory receptor 14J1 [Varanus komodoensis]
KAF7252737.1         -          7tm_1                PF00001.26     6e-37  127.5  26.8   8.9e-37  127.0  26.8   1.3   1   0   0   1   1   1   1 Follicle-stimulating hormone receptor [Varanus komodoensis]
KAF7236016.1         -          7tm_1                PF00001.26   8.2e-37  127.1  25.5   8.2e-37  127.1  25.5   1.8   2   0   0   2   2   1   1 hypothetical protein EYD10_17218 [Varanus komodoensis]
KAF7235640.1         -          7tm_1                PF00001.26   8.4e-37  127.1  18.0   1.5e-36  126.2  18.0   1.4   1   1   0   1   1   1   1 Olfactory receptor 4M1 [Varanus komodoensis]
KAF7236363.1         -          7tm_1                PF00001.26   8.5e-37  127.0  14.4   1.1e-36  126.6  14.4   1.2   1   0   0   1   1   1   1 Opsin-5 [Varanus komodoensis]
KAF7235993.1         -          7tm_1                PF00001.26   8.9e-37  127.0  20.2   1.4e-36  126.3  20.2   1.3   1   0   0   1   1   1   1 hypothetical protein EYD10_17229 [Varanus komodoensis]
KAF7239667.1         -          7tm_1                PF00001.26   9.9e-37  126.8  23.7   1.5e-36  126.3  23.7   1.2   1   0   0   1   1   1   1 Olfactory receptor 11A1 [Varanus komodoensis]
KAF7239666.1         -          7tm_1                PF00001.26   1.4e-36  126.3  21.0   1.4e-36  126.3  21.0   1.4   2   0   0   2   2   1   1 hypothetical protein EYD10_13759 [Varanus komodoensis]
KAF7235425.1         -          7tm_1                PF00001.26   2.3e-36  125.6  31.5   3.2e-36  125.2  31.5   1.2   1   0   0   1   1   1   1 Olfactory receptor 14I1 [Varanus komodoensis]
KAF7237966.1         -          7tm_1                PF00001.26   2.7e-36  125.4  22.1   4.2e-36  124.8  22.1   1.3   1   0   0   1   1   1   1 Olfactory receptor 6M1 [Varanus komodoensis]
KAF7236504.1         -          7tm_1                PF00001.26   2.7e-36  125.4  17.8     4e-36  124.8  17.8   1.2   1   0   0   1   1   1   1 Free fatty acid receptor 2 [Varanus komodoensis]
KAF7237976.1         -          7tm_1                PF00001.26   3.7e-36  124.9  24.4   6.7e-36  124.1  24.4   1.4   1   0   0   1   1   1   1 Olfactory receptor 2B6 [Varanus komodoensis]
KAF7234599.1         -          7tm_1                PF00001.26   3.9e-36  124.9  19.7   5.9e-36  124.3  19.7   1.3   1   0   0   1   1   1   1 hypothetical protein EYD10_18375, partial [Varanus komodoensis]
KAF7236510.1         -          7tm_1                PF00001.26   4.1e-36  124.8  28.3   5.2e-36  124.5  28.3   1.1   1   0   0   1   1   1   1 putative G-protein coupled receptor 33 [Varanus komodoensis]
KAF7235431.1         -          7tm_1                PF00001.26   5.2e-36  124.5  12.9   7.6e-36  123.9  12.9   1.2   1   0   0   1   1   1   1 Olfactory receptor 14I1 [Varanus komodoensis]
KAF7249986.1         -          7tm_1                PF00001.26     6e-36  124.3  13.4   8.3e-36  123.8  13.4   1.1   1   0   0   1   1   1   1 hypothetical protein EYD10_04589 [Varanus komodoensis]
KAF7239663.1         -          7tm_1                PF00001.26   7.4e-36  124.0  21.8     1e-35  123.5  21.8   1.2   1   0   0   1   1   1   1 hypothetical protein EYD10_13752 [Varanus komodoensis]
KAF7236511.1         -          7tm_1                PF00001.26     1e-35  123.5  30.3   1.4e-35  123.1  30.3   1.2   1   0   0   1   1   1   1 putative G-protein coupled receptor 33 [Varanus komodoensis]
KAF7239651.1         -          7tm_1                PF00001.26   1.5e-35  122.9  31.5   2.1e-35  122.5  31.5   1.2   1   0   0   1   1   1   1 Olfactory receptor 6N2 [Varanus komodoensis]
KAF7252708.1         -          7tm_1                PF00001.26   1.9e-35  122.6  14.2   2.8e-35  122.1  14.2   1.3   1   0   0   1   1   1   1 Neuromedin-K receptor [Varanus komodoensis]
KAF7239756.1         -          7tm_1                PF00001.26   2.4e-35  122.3  20.9   3.3e-35  121.8  20.9   1.2   1   0   0   1   1   1   1 Olfactory receptor 11L1 [Varanus komodoensis]
KAF7237977.1         -          7tm_1                PF00001.26   2.7e-35  122.1  23.3   5.3e-35  121.2  23.3   1.5   1   1   0   1   1   1   1 Olfactory receptor 5A1 [Varanus komodoensis]
KAF7237981.1         -          7tm_1                PF00001.26   2.9e-35  122.0  22.6   6.5e-35  120.9  22.6   1.6   1   1   0   1   1   1   1 Olfactory receptor 5V1 [Varanus komodoensis]
KAF7235244.1         -          7tm_1                PF00001.26   3.2e-35  121.9  18.3   4.4e-35  121.4  18.3   1.2   1   0   0   1   1   1   1 Olfactory receptor 6C74 [Varanus komodoensis]
KAF7236448.1         -          7tm_1                PF00001.26   3.3e-35  121.9  35.3   9.7e-35  120.3  35.3   1.8   1   1   0   1   1   1   1 G-protein coupled receptor 20 [Varanus komodoensis]
KAF7239664.1         -          7tm_1                PF00001.26   4.9e-35  121.3  24.1   7.3e-35  120.7  24.1   1.3   1   0   0   1   1   1   1 Olfactory receptor 10C1 [Varanus komodoensis]
KAF7243305.1         -          7tm_1                PF00001.26   4.9e-35  121.3  19.5   6.9e-35  120.8  19.5   1.2   1   0   0   1   1   1   1 G-protein coupled receptor 55 [Varanus komodoensis]
KAF7235753.1         -          7tm_1                PF00001.26   4.9e-35  121.3  17.3   8.7e-35  120.5  17.3   1.4   1   1   0   1   1   1   1 Olfactory receptor 10G6 [Varanus komodoensis]
KAF7247435.1         -          7tm_1                PF00001.26   5.2e-35  121.2   2.1   6.7e-35  120.8   2.1   1.2   1   0   0   1   1   1   1 Substance-K receptor [Varanus komodoensis]
KAF7235427.1         -          7tm_1                PF00001.26   5.2e-35  121.2  27.5   8.4e-35  120.5  27.5   1.3   1   0   0   1   1   1   1 Olfactory receptor 14A16, partial [Varanus komodoensis]
KAF7237972.1         -          7tm_1                PF00001.26   9.2e-35  120.4  18.4   9.2e-35  120.4  18.4   2.1   2   0   0   2   2   2   1 Olfactory receptor 1F1 [Varanus komodoensis]
KAF7241823.1         -          7tm_1                PF00001.26   1.4e-34  119.8  14.3   2.8e-34  118.8  14.3   1.5   1   1   0   1   1   1   1 G-protein coupled receptor 39 [Varanus komodoensis]
KAF7236017.1         -          7tm_1                PF00001.26   1.9e-34  119.4  19.1   3.1e-34  118.6  19.1   1.4   1   0   0   1   1   1   1 hypothetical protein EYD10_17219 [Varanus komodoensis]
KAF7236506.1         -          7tm_1                PF00001.26   1.9e-34  119.3  13.1   2.4e-34  119.0  13.1   1.1   1   0   0   1   1   1   1 Free fatty acid receptor 3 [Varanus komodoensis]
KAF7237116.1         -          7tm_1                PF00001.26     2e-34  119.3  21.8   2.8e-34  118.8  21.8   1.2   1   0   0   1   1   1   1 Sphingosine 1-phosphate receptor 4 [Varanus komodoensis]
KAF7237963.1         -          7tm_1                PF00001.26   2.9e-34  118.7  29.6   1.6e-31  109.8  20.5   2.5   2   0   0   2   2   2   2 Olfactory receptor 14I1, partial [Varanus komodoensis]
KAF7235248.1         -          7tm_1                PF00001.26     3e-34  118.7  23.1   6.7e-34  117.5  23.1   1.5   1   1   0   1   1   1   1 Olfactory receptor 6M1 [Varanus komodoensis]
KAF7237967.1         -          7tm_1                PF00001.26   4.5e-34  118.1  21.9   6.8e-34  117.5  21.9   1.3   1   0   0   1   1   1   1 Olfactory receptor 49 [Varanus komodoensis]
KAF7234741.1         -          7tm_1                PF00001.26   1.9e-33  116.1  22.4   2.6e-33  115.6  22.4   1.2   1   0   0   1   1   1   1 hypothetical protein EYD10_18303 [Varanus komodoensis]
KAF7234742.1         -          7tm_1                PF00001.26   3.5e-33  115.2  25.5   5.4e-33  114.6  25.5   1.3   1   0   0   1   1   1   1 Olfactory receptor 5AS1 [Varanus komodoensis]
KAF7235989.1         -          7tm_1                PF00001.26   3.7e-33  115.1  25.2     5e-33  114.7  25.2   1.2   1   0   0   1   1   1   1 hypothetical protein EYD10_17224 [Varanus komodoensis]
KAF7237982.1         -          7tm_1                PF00001.26   4.9e-33  114.7  23.7   7.7e-33  114.1  23.7   1.3   1   0   0   1   1   1   1 Olfactory receptor 14I1 [Varanus komodoensis]
KAF7234530.1         -          7tm_1                PF00001.26   6.7e-33  114.3  16.6   9.7e-33  113.7  16.6   1.2   1   0   0   1   1   1   1 Olfactory receptor 5G3 [Varanus komodoensis]
KAF7236015.1         -          7tm_1                PF00001.26     1e-32  113.7  20.9   1.5e-32  113.2  20.9   1.2   1   0   0   1   1   1   1 hypothetical protein EYD10_17223 [Varanus komodoensis]
KAF7235752.1         -          7tm_1                PF00001.26   1.9e-32  112.8  19.5   4.6e-32  111.5  19.5   1.6   1   1   0   1   1   1   1 Olfactory receptor 10G7 [Varanus komodoensis]
KAF7237975.1         -          7tm_1                PF00001.26   2.8e-32  112.2  22.5   3.9e-32  111.8  22.5   1.2   1   0   0   1   1   1   1 hypothetical protein EYD10_15270, partial [Varanus komodoensis]
KAF7242495.1         -          7tm_1                PF00001.26   3.2e-32  112.1  22.0   2.1e-17   63.5   2.2   2.4   2   1   0   2   2   2   2 Adenosine receptor A2a [Varanus komodoensis]
KAF7248829.1         -          7tm_1                PF00001.26   8.8e-32  110.6  10.8   8.8e-32  110.6  10.8   1.4   2   0   0   2   2   1   1 Neurotensin receptor type 1 [Varanus komodoensis]
KAF7235632.1         -          7tm_1                PF00001.26   9.4e-32  110.5  15.1   9.4e-32  110.5  15.1   1.7   1   1   0   1   1   1   1 Olfactory receptor 4K3 [Varanus komodoensis]
KAF7235992.1         -          7tm_1                PF00001.26     1e-31  110.4  17.4   1.6e-31  109.8  17.4   1.3   1   0   0   1   1   1   1 Olfactory receptor 5AR1 [Varanus komodoensis]
KAF7254004.1         -          7tm_1                PF00001.26   1.6e-31  109.7  22.4   2.3e-31  109.2  22.4   1.2   1   0   0   1   1   1   1 G-protein coupled receptor 6 [Varanus komodoensis]
KAF7249404.1         -          7tm_1                PF00001.26   2.2e-31  109.3  10.1   3.2e-31  108.8  10.1   1.2   1   0   0   1   1   1   1 5-hydroxytryptamine receptor 4, partial [Varanus komodoensis]
KAF7243810.1         -          7tm_1                PF00001.26   9.2e-31  107.3  18.9   1.3e-30  106.8  18.9   1.2   1   0   0   1   1   1   1 Olfactory receptor 1E2 [Varanus komodoensis]
KAF7249648.1         -          7tm_1                PF00001.26   9.4e-31  107.2   7.2   1.3e-30  106.8   7.2   1.1   1   0   0   1   1   1   1 Troponin C, slow skeletal and cardiac muscles isoform [Varanus komodoensis]
KAF7235994.1         -          7tm_1                PF00001.26   4.8e-30  104.9  27.7   9.2e-30  104.0  27.7   1.5   1   1   0   1   1   1   1 Olfactory receptor 5L2 [Varanus komodoensis]
KAF7235420.1         -          7tm_1                PF00001.26   5.1e-30  104.8  18.8     7e-30  104.4  18.8   1.2   1   0   0   1   1   1   1 Olfactory receptor 14I1 [Varanus komodoensis]
KAF7241156.1         -          7tm_1                PF00001.26   9.6e-30  103.9  14.0   1.3e-29  103.5  14.0   1.2   1   0   0   1   1   1   1 Olfactory receptor 10AC1 [Varanus komodoensis]
KAF7251452.1         -          7tm_1                PF00001.26   1.5e-29  103.2  27.3   1.9e-29  102.9  27.3   1.1   1   0   0   1   1   1   1 hypothetical protein EYD10_02626 [Varanus komodoensis]
KAF7254546.1         -          7tm_1                PF00001.26   1.7e-29  103.1  13.1   2.2e-29  102.7  13.1   1.1   1   0   0   1   1   1   1 Prostaglandin E2 receptor EP3 subtype [Varanus komodoensis]
KAF7235424.1         -          7tm_1                PF00001.26   3.2e-29  102.2  22.5   4.5e-29  101.7  22.5   1.2   1   0   0   1   1   1   1 Olfactory receptor 14I1 [Varanus komodoensis]
KAF7238982.1         -          7tm_1                PF00001.26     4e-29  101.9   7.9   5.1e-29  101.5   7.9   1.1   1   0   0   1   1   1   1 Adenosine receptor A1 [Varanus komodoensis]
KAF7235651.1         -          7tm_1                PF00001.26   6.4e-29  101.2  19.1   9.5e-29  100.7  19.1   1.3   1   0   0   1   1   1   1 Olfactory receptor 11G2 [Varanus komodoensis]
KAF7238988.1         -          7tm_1                PF00001.26     9e-29  100.7   8.6   1.4e-28  100.1   8.6   1.2   1   0   0   1   1   1   1 Beta-4C adrenergic receptor [Varanus komodoensis]
KAF7235629.1         -          7tm_1                PF00001.26   1.4e-28  100.1  20.1     2e-28   99.6  20.1   1.2   1   0   0   1   1   1   1 Olfactory receptor 11G2 [Varanus komodoensis]
KAF7241798.1         -          7tm_1                PF00001.26   2.5e-28   99.3  21.9   4.2e-28   98.5  21.9   1.4   1   0   0   1   1   1   1 Olfactory receptor-like protein OLF1 [Varanus komodoensis]
KAF7247311.1         -          7tm_1                PF00001.26     3e-28   99.0   3.8   3.9e-28   98.7   3.8   1.1   1   0   0   1   1   1   1 Free fatty acid receptor 4 [Varanus komodoensis]
KAF7244424.1         -          7tm_1                PF00001.26     6e-28   98.0   4.7   9.6e-28   97.4   4.7   1.2   1   0   0   1   1   1   1 Adenosine receptor A2b [Varanus komodoensis]
KAF7253507.1         -          7tm_1                PF00001.26   6.8e-28   97.9  15.0   1.2e-16   61.0   6.3   2.1   1   1   1   2   2   2   2 Opsin-5 [Varanus komodoensis]
KAF7235751.1         -          7tm_1                PF00001.26   8.7e-28   97.5  13.5   1.2e-27   97.0  13.5   1.2   1   0   0   1   1   1   1 Olfactory receptor 10G9 [Varanus komodoensis]
KAF7254665.1         -          7tm_1                PF00001.26   2.2e-27   96.2  11.7     3e-27   95.8  11.7   1.1   1   0   0   1   1   1   1 Gastrin-releasing peptide receptor [Varanus komodoensis]
KAF7243371.1         -          7tm_1                PF00001.26     3e-27   95.7  18.6     3e-27   95.7  18.6   1.3   1   1   0   1   1   1   1 Prostaglandin F2-alpha receptor [Varanus komodoensis]
KAF7235432.1         -          7tm_1                PF00001.26   5.8e-27   94.8  10.4   1.1e-26   93.9  10.4   1.4   1   0   0   1   1   1   1 Olfactory receptor 14A16 [Varanus komodoensis]
KAF7239272.1         -          7tm_1                PF00001.26   6.4e-27   94.7  13.9   9.6e-27   94.1  13.9   1.2   1   0   0   1   1   1   1 G-protein coupled receptor 26 [Varanus komodoensis]
KAF7249406.1         -          7tm_1                PF00001.26   7.1e-27   94.5   1.6   1.1e-26   93.8   1.6   1.3   1   0   0   1   1   1   1 5-hydroxytryptamine receptor 4 [Varanus komodoensis]
KAF7242255.1         -          7tm_1                PF00001.26   8.9e-27   94.2   4.1   1.1e-26   93.9   4.1   1.1   1   0   0   1   1   1   1 Prostacyclin receptor [Varanus komodoensis]
